File,N_1-1,E_1-1,N_1-2,E_1-2,N_1-3,E_1-3,N_1-4,E_1-4,N_1-5,E_1-5,N_2-2,E_2-2,N_2-3,E_2-3,N_2-4,E_2-4,N_2-5,E_2-5,N_3-3,E_3-3,N_3-4,E_3-4,N_3-5,E_3-5,N_4-4,E_4-4,N_4-5,E_4-5,N_5-5,E_5-5,File_Index,Index,Y_Actual,Y_Predict,Structure
dump_150.csv,257.0,-3.6000835408560308,360.0,-3.6918520277777778,451.0,-4.03891177383592,483.0,-3.862889420289855,492.0,-4.039712276422764,189.0,-3.7918258730158727,390.0,-4.1240402948717945,400.0,-3.948987525,408.0,-4.120380968137255,528.0,-4.464615909090909,765.0,-4.298029653594772,779.0,-4.461031803594352,718.0,-4.124617653203343,1004.0,-4.299505806772909,936.0,-4.458230496794871,150,1419,181.53338623046875,181.64359,dump_150.lammpstraj
dump_151.csv,195.0,-3.612774846153846,313.0,-3.6959742492012784,414.0,-4.037981896135266,368.0,-3.879163980978261,406.0,-4.040425960591133,201.0,-3.780130323383085,427.0,-4.110668946135832,404.0,-3.952063007425743,419.0,-4.11222621718377,928.0,-4.449031880387931,1170.0,-4.301143145299146,1267.0,-4.447827442778216,508.0,-4.138554931102362,771.0,-4.303218482490272,760.0,-4.449499625,151,3907,187.3096618652344,187.33385,dump_151.lammpstraj
dump_152.csv,101.0,-3.6349270297029705,256.0,-3.71910748046875,279.0,-4.059357598566309,261.0,-3.896462394636015,273.0,-4.066283498168499,437.0,-3.805681075514874,694.0,-4.133736952449567,641.0,-3.970935522620905,674.0,-4.140396980712166,948.0,-4.469999103375527,1211.0,-4.317681300578035,1251.0,-4.469910767386091,462.0,-4.1542830627705625,696.0,-4.322603189655172,670.0,-4.472960432835821,152,4673,188.76319885253903,188.706,dump_152.lammpstraj
dump_153.csv,119.0,-3.637479033613445,271.0,-3.725425018450185,308.0,-4.073119025974026,321.0,-3.89811593457944,318.0,-4.073671933962264,338.0,-3.811958180473373,548.0,-4.145843248175182,563.0,-3.974694786856128,574.0,-4.14537236933798,583.0,-4.488840034305317,862.0,-4.325138503480279,861.0,-4.482735638792103,734.0,-4.153934945504087,1026.0,-4.326100662768031,824.0,-4.479691626213592,153,4902,184.4231109619141,184.374,dump_153.lammpstraj
dump_154.csv,163.0,-3.6098852760736193,250.0,-3.69997992,358.0,-4.040132290502793,319.0,-3.879113213166144,360.0,-4.039959694444444,159.0,-3.786295849056604,360.0,-4.110359319444444,329.0,-3.9529189817629176,356.0,-4.11216191011236,909.0,-4.457116793179318,1149.0,-4.309079708442124,1257.0,-4.450833512330947,471.0,-4.149356114649682,716.0,-4.3095470810055865,923.0,-4.45015198808234,154,1860,188.61534118652344,188.77399,dump_154.lammpstraj
dump_155.csv,81.0,-3.638991481481481,201.0,-3.725824950248756,260.0,-4.063992730769231,239.0,-3.902152907949791,262.0,-4.068220515267176,215.0,-3.796707046511628,447.0,-4.123624261744967,405.0,-3.9698601604938273,448.0,-4.127029765625,925.0,-4.466550081081081,1157.0,-4.318829736387208,1274.0,-4.463536534536892,445.0,-4.162069561797753,701.0,-4.322266519258203,928.0,-4.4630920204741376,155,8,190.39588928222656,189.96344,dump_155.lammpstraj
dump_156.csv,211.0,-3.633574502369668,397.0,-3.722794748110832,381.0,-4.05757750656168,413.0,-3.877288341404359,407.0,-4.062140626535626,621.0,-3.823392777777778,802.0,-4.149866103491272,887.0,-3.97361420518602,872.0,-4.153864862385321,418.0,-4.472544354066986,673.0,-4.309493172362555,666.0,-4.473625975975977,732.0,-4.131831188524591,994.0,-4.313006076458752,644.0,-4.47834798136646,156,2894,180.356185913086,179.91136,dump_156.lammpstraj
dump_157.csv,294.0,-3.603020986394558,417.0,-3.683061151079136,530.0,-4.018760990566038,476.0,-3.858540976890757,530.0,-4.026942896226415,207.0,-3.771345917874396,427.0,-4.096427341920375,393.0,-3.9356318193384223,425.0,-4.1004864588235295,816.0,-4.431928192401961,1012.0,-4.282558008893281,1120.0,-4.433233508928571,443.0,-4.114601659142212,703.0,-4.2854954694167855,835.0,-4.436499209580838,157,2847,184.71484375,184.60928,dump_157.lammpstraj
dump_158.csv,171.0,-3.6194287134502927,308.0,-3.7073277435064935,374.0,-4.040272593582888,344.0,-3.881673677325581,369.0,-4.0478018021680215,297.0,-3.7940303367003367,507.0,-4.117439437869822,463.0,-3.960740442764578,515.0,-4.122127310679612,837.0,-4.455274928315412,1082.0,-4.304817476894639,1166.0,-4.452700355917667,448.0,-4.14305328125,706.0,-4.308946678470255,880.0,-4.455632840909091,158,3664,187.29917907714844,187.28825,dump_158.lammpstraj
dump_159.csv,89.0,-3.6396283707865167,223.0,-3.724875089686099,260.0,-4.064051596153846,239.0,-3.90168679916318,255.0,-4.069306,353.0,-3.8040528045325774,590.0,-4.130153355932204,537.0,-3.9723791899441343,579.0,-4.134800405872193,965.0,-4.46836450777202,1249.0,-4.319940240192153,1321.0,-4.466326101438304,447.0,-4.161164194630873,697.0,-4.322438428981348,742.0,-4.469310795148248,159,144,189.6791381835937,189.8955,dump_159.lammpstraj
