File,Pair,Count,Mean_Energy
dump_19.csv,3-5,1089,-4.468321707988981
dump_19.csv,4-4,528,-4.160290871212122
dump_19.csv,4-5,785,-4.3258650764331215
dump_19.csv,5-5,818,-4.472087622249389
dump_20.csv,1-1,84,-3.635114345238095
dump_20.csv,1-2,174,-3.71960025862069
dump_20.csv,1-3,242,-4.06127597107438
dump_20.csv,1-4,223,-3.8985187668161436
dump_20.csv,1-5,240,-4.0633137291666666
dump_20.csv,2-2,203,-3.8035714285714284
dump_20.csv,2-3,420,-4.130286535714285
dump_20.csv,2-4,392,-3.9722198724489797
dump_20.csv,2-5,419,-4.131752255369928
dump_20.csv,3-3,934,-4.471228377944326
dump_20.csv,3-4,1196,-4.322775643812709
dump_20.csv,3-5,1290,-4.466887879844961
dump_20.csv,4-4,457,-4.167669507658643
dump_20.csv,4-5,724,-4.326100013812155
dump_20.csv,5-5,928,-4.464920167025863
dump_21.csv,1-1,57,-3.633720350877193
dump_21.csv,1-2,140,-3.723622571428571
dump_21.csv,1-3,199,-4.067635979899498
dump_21.csv,1-4,182,-3.910678818681319
dump_21.csv,1-5,199,-4.068921834170855
dump_21.csv,2-2,166,-3.7993118072289156
dump_21.csv,2-3,376,-4.127292194148937
dump_21.csv,2-4,341,-3.9732031231671554
dump_21.csv,2-5,375,-4.12882804
dump_21.csv,3-3,1020,-4.473675240196079
dump_21.csv,3-4,1257,-4.3283529832935566
dump_21.csv,3-5,1377,-4.469483816267248
dump_21.csv,4-4,464,-4.175065129310345
dump_21.csv,4-5,710,-4.329516133802817
dump_21.csv,5-5,917,-4.469036543075245
dump_22.csv,1-1,287,-3.597487142857143
dump_22.csv,1-2,475,-3.6851530421052634
dump_22.csv,1-3,527,-4.020447115749525
dump_22.csv,1-4,494,-3.853784170040486
dump_22.csv,1-5,498,-4.027548112449799
dump_22.csv,2-2,411,-3.7751633576642334
dump_22.csv,2-3,661,-4.101662397881997
dump_22.csv,2-4,618,-3.939658964401295
dump_22.csv,2-5,624,-4.110469174679487
dump_22.csv,3-3,917,-4.43354858778626
dump_22.csv,3-4,1171,-4.279286648163962
dump_22.csv,3-5,1191,-4.436540176322418
dump_22.csv,4-4,462,-4.1146318181818184
dump_22.csv,4-5,676,-4.286668402366864
dump_22.csv,5-5,504,-4.442378591269842
dump_23.csv,1-1,109,-3.632044036697248
dump_23.csv,1-2,190,-3.7129271315789474
dump_23.csv,1-3,262,-4.057260248091604
dump_23.csv,1-4,244,-3.893211618852459
dump_23.csv,1-5,267,-4.05620670411985
dump_23.csv,2-2,201,-3.7967869154228855
dump_23.csv,2-3,404,-4.127123391089109
dump_23.csv,2-4,369,-3.9675963821138214
dump_23.csv,2-5,403,-4.126546191066998
dump_23.csv,3-3,952,-4.468271244747899
dump_23.csv,3-4,1177,-4.3200621367884455
dump_23.csv,3-5,1289,-4.462582754072924
dump_23.csv,4-4,475,-4.162211105263158
dump_23.csv,4-5,726,-4.319739049586777
dump_23.csv,5-5,919,-4.4634107072905325
dump_24.csv,1-1,188,-3.623260797872341
dump_24.csv,1-2,293,-3.7014542832764503
dump_24.csv,1-3,399,-4.041789949874687
dump_24.csv,1-4,364,-3.879721662087912
dump_24.csv,1-5,402,-4.0435817039801
dump_24.csv,2-2,192,-3.7793586197916667
dump_24.csv,2-3,407,-4.110207063882064
dump_24.csv,2-4,377,-3.9510010212201596
dump_24.csv,2-5,413,-4.110467469733656
